"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.";"Município";"Ano"
"1400233";"Caroebe (RR)";"8826"
"1400282";"Iracema (RR)";"9762"
"1400308";"Mucajaí (RR)";"15890"
"1400407";"Normandia (RR)";"9754"
"1400456";"Pacaraima (RR)";"11423"
"1400472";"Rorainópolis (RR)";"26326"
"1400506";"São João da Baliza (RR)";"7284"
"1400605";"São Luiz (RR)";"7210"
"1400704";"Uiramutã (RR)";"9127"
"1500107";"Abaetetuba (PA)";"147267"
"1500131";"Abel Figueiredo (PA)";"7013"
"1500206";"Acará (PA)";"54030"
"1500305";"Afuá (PA)";"36598"
"1500347";"Água Azul do Norte (PA)";"25899"
"1500404";"Alenquer (PA)";"54035"
"1500503";"Almeirim (PA)";"33562"
"1500602";"Altamira (PA)";"105106"
"1500701";"Anajás (PA)";"26547"
"1500800";"Ananindeua (PA)";"493976"
"1500859";"Anapu (PA)";"23609"
"1500909";"Augusto Corrêa (PA)";"42591"
"1500958";"Aurora do Pará (PA)";"28441"
"1501006";"Aveiro (PA)";"15959"
"1501105";"Bagre (PA)";"26666"
"1501204";"Baião (PA)";"41232"
"1501253";"Bannach (PA)";"3340"
"1501303";"Barcarena (PA)";"109975"
"1501402";"Belém (PA)";"1425922"
"1501451";"Belterra (PA)";"16808"
"1501501";"Benevides (PA)";"56112"
"1501576";"Bom Jesus do Tocantins (PA)";"15916"
"1501600";"Bonito (PA)";"14689"
"1501709";"Bragança (PA)";"118678"
"1501725";"Brasil Novo (PA)";"15300"
"1501758";"Brejo Grande do Araguaia (PA)";"7285"
"1501782";"Breu Branco (PA)";"58033"
"1501808";"Breves (PA)";"96444"
"1501907";"Bujaru (PA)";"27000"
"1501956";"Cachoeira do Piriá (PA)";"29533"
"1502004";"Cachoeira do Arari (PA)";"21740"
"1502103";"Cametá (PA)";"127401"
"1502152";"Canaã dos Carajás (PA)";"31062"
"1502202";"Capanema (PA)";"65498"
"1502301";"Capitão Poço (PA)";"52537"
"1502400";"Castanhal (PA)";"183917"
"1502509";"Chaves (PA)";"22029"
"1502608";"Colares (PA)";"11600"
"1502707";"Conceição do Araguaia (PA)";"46206"
"1502756";"Concórdia do Pará (PA)";"30233"
"1502764";"Cumaru do Norte (PA)";"11704"
"1502772";"Curionópolis (PA)";"17983"
"1502806";"Curralinho (PA)";"30915"
"1502855";"Curuá (PA)";"13097"
"1502905";"Curuçá (PA)";"36557"
"1502939";"Dom Eliseu (PA)";"54602"
"1502954";"Eldorado do Carajás (PA)";"32420"
"1503002";"Faro (PA)";"7680"
"1503044";"Floresta do Araguaia (PA)";"18741"
"1503077";"Garrafão do Norte (PA)";"25287"
"1503093";"Goianésia do Pará (PA)";"36500"
"1503101";"Gurupá (PA)";"30727"
"1503200";"Igarapé-Açu (PA)";"36883"
"1503309";"Igarapé-Miri (PA)";"59644"
"1503408";"Inhangapi (PA)";"10693"
"1503457";"Ipixuna do Pará (PA)";"54609"
"1503507";"Irituia (PA)";"31634"
"1503606";"Itaituba (PA)";"98363"
"1503705";"Itupiranga (PA)";"51711"
"1503754";"Jacareacanga (PA)";"11412"
"1503804";"Jacundá (PA)";"54376"
"1503903";"Juruti (PA)";"51483"
"1504000";"Limoeiro do Ajuru (PA)";"26542"
"1504059";"Mãe do Rio (PA)";"28636"
"1504109";"Magalhães Barata (PA)";"8240"
"1504208";"Marabá (PA)";"251885"
"1504307";"Maracanã (PA)";"28631"
"1504406";"Marapanim (PA)";"27153"
"1504422";"Marituba (PA)";"117614"
"1504455";"Medicilândia (PA)";"28987"
"1504505";"Melgaço (PA)";"25860"
"1504604";"Mocajuba (PA)";"28454"
"1504703";"Moju (PA)";"74768"
"1504752";"Mojuí dos Campos (PA)";"15232"
"1504802";"Monte Alegre (PA)";"56147"
"1504901";"Muaná (PA)";"36632"
"1504950";"Nova Esperança do Piriá (PA)";"20528"
"1504976";"Nova Ipixuna (PA)";"15422"
"1505007";"Nova Timboteua (PA)";"14305"
"1505031";"Novo Progresso (PA)";"25203"
"1505064";"Novo Repartimento (PA)";"67652"
"1505106";"Óbidos (PA)";"50171"
"1505205";"Oeiras do Pará (PA)";"30088"
"1505304";"Oriximiná (PA)";"66821"
"1505403";"Ourém (PA)";"16854"
"1505437";"Ourilândia do Norte (PA)";"29547"
"1505486";"Pacajá (PA)";"43057"
"1505494";"Palestina do Pará (PA)";"7465"
"1505502";"Paragominas (PA)";"103775"
"1505536";"Parauapebas (PA)";"176582"
"1505551";"Pau D'Arco (PA)";"5743"
"1505601";"Peixe-Boi (PA)";"7889"
"1505635";"Piçarra (PA)";"12720"
"1505650";"Placas (PA)";"26842"
"1505700";"Ponta de Pedras (PA)";"28025"
"1505809";"Portel (PA)";"56094"
"1505908";"Porto de Moz (PA)";"36841"
"1506005";"Prainha (PA)";"29342"
"1506104";"Primavera (PA)";"10432"
"1506112";"Quatipuru (PA)";"12838"
"1506138";"Redenção (PA)";"79010"
"1506161";"Rio Maria (PA)";"17774"
"1506187";"Rondon do Pará (PA)";"48959"
"1506195";"Rurópolis (PA)";"44349"
"1506203";"Salinópolis (PA)";"38552"
"1506302";"Salvaterra (PA)";"21592"
"1506351";"Santa Bárbara do Pará (PA)";"18736"
"1506401";"Santa Cruz do Arari (PA)";"8957"
"1506500";"Santa Izabel do Pará (PA)";"63973"
"1506559";"Santa Luzia do Pará (PA)";"19455"
"1506583";"Santa Maria das Barreiras (PA)";"18934"
"1506609";"Santa Maria do Pará (PA)";"23649"
"1506708";"Santana do Araguaia (PA)";"63031"
"1506807";"Santarém (PA)";"288462"
"1506906";"Santarém Novo (PA)";"6341"
"1507003";"Santo Antônio do Tauá (PA)";"28575"
"1507102";"São Caetano de Odivelas (PA)";"17266"
"1507151";"São Domingos do Araguaia (PA)";"24012"
"1507201";"São Domingos do Capim (PA)";"30550"
"1507300";"São Félix do Xingu (PA)";"106940"
"1507409";"São Francisco do Pará (PA)";"15301"
"1507458";"São Geraldo do Araguaia (PA)";"25056"
"1507466";"São João da Ponta (PA)";"5608"
"1507474";"São João de Pirabas (PA)";"21536"
"1507508";"São João do Araguaia (PA)";"13419"
"1507607";"São Miguel do Guamá (PA)";"54417"
"1507706";"São Sebastião da Boa Vista (PA)";"24363"
"1507755";"Sapucaia (PA)";"5395"
"1507805";"Senador José Porfírio (PA)";"12331"
"1507904";"Soure (PA)";"23861"
"1507953";"Tailândia (PA)";"90552"
"1507961";"Terra Alta (PA)";"10822"
"1507979";"Terra Santa (PA)";"17614"
"1508001";"Tomé-Açu (PA)";"59112"
"1508035";"Tracuateua (PA)";"28775"
"1508050";"Trairão (PA)";"17670"
"1508084";"Tucumã (PA)";"36021"
"1508100";"Tucuruí (PA)";"103619"
"1508126";"Ulianópolis (PA)";"49972"
"1508159";"Uruará (PA)";"44731"
"1508209";"Vigia (PA)";"50055"
"1508308";"Viseu (PA)";"58323"
"1508357";"Vitória do Xingu (PA)";"14072"
"1508407";"Xinguara (PA)";"42085"
"1600055";"Serra do Navio (AP)";"4761"
"1600105";"Amapá (AP)";"8483"
"1600154";"Pedra Branca do Amapari (AP)";"12828"
"1600204";"Calçoene (AP)";"9793"
"1600212";"Cutias (AP)";"5173"
"1600238";"Ferreira Gomes (AP)";"6525"
"1600253";"Itaubal (AP)";"4722"
"1600279";"Laranjal do Jari (AP)";"43832"
"1600303";"Macapá (AP)";"437256"
"1600402";"Mazagão (AP)";"18739"
"1600501";"Oiapoque (AP)";"22986"
"1600535";"Porto Grande (AP)";"18708"
"1600550";"Pracuúba (AP)";"4277"
"1600600";"Santana (AP)";"108897"
"1600709";"Tartarugalzinho (AP)";"14292"
"1600808";"Vitória do Jari (AP)";"13724"
"1700251";"Abreulândia (TO)";"2506"
"1700301";"Aguiarnópolis (TO)";"5820"
"1700350";"Aliança do Tocantins (TO)";"5686"
"1700400";"Almas (TO)";"7553"
"1700707";"Alvorada (TO)";"8557"
"1701002";"Ananás (TO)";"9952"
"1701051";"Angico (TO)";"3332"
"1701101";"Aparecida do Rio Negro (TO)";"4504"
"1701309";"Aragominas (TO)";"5958"
"1701903";"Araguacema (TO)";"6716"
"1702000";"Araguaçu (TO)";"8868"
"1702109";"Araguaína (TO)";"164093"
"1702158";"Araguanã (TO)";"5379"
"1702208";"Araguatins (TO)";"33524"
"1702307";"Arapoema (TO)";"6844"
"1702406";"Arraias (TO)";"10833"
"1702554";"Augustinópolis (TO)";"17140"
"1702703";"Aurora do Tocantins (TO)";"3625"
"1702901";"Axixá do Tocantins (TO)";"9632"
"1703008";"Babaçulândia (TO)";"10720"
"1703057";"Bandeirantes do Tocantins (TO)";"3336"
"1703073";"Barra do Ouro (TO)";"4371"
"1703107";"Barrolândia (TO)";"5557"
"1703206";"Bernardo Sayão (TO)";"4547"
"1703305";"Bom Jesus do Tocantins (TO)";"4241"
"1703602";"Brasilândia do Tocantins (TO)";"2154"
"1703701";"Brejinho de Nazaré (TO)";"5400"
"1703800";"Buriti do Tocantins (TO)";"10522"
"1703826";"Cachoeirinha (TO)";"2236"
"1703842";"Campos Lindos (TO)";"9000"
"1703867";"Cariri do Tocantins (TO)";"4053"
"1703883";"Carmolândia (TO)";"2457"
"1703891";"Carrasco Bonito (TO)";"3906"
"1703909";"Caseara (TO)";"4965"
"1704105";"Centenário (TO)";"2737"
"1704600";"Chapada de Areia (TO)";"1386"
"1705102";"Chapada da Natividade (TO)";"3362"
"1705508";"Colinas do Tocantins (TO)";"33078"
"1705557";"Combinado (TO)";"4827"
"1705607";"Conceição do Tocantins (TO)";"4240"
"1706001";"Couto Magalhães (TO)";"5314"
"1706100";"Cristalândia (TO)";"7399"
"1706258";"Crixás do Tocantins (TO)";"1651"
"1706506";"Darcinópolis (TO)";"5670"
"1707009";"Dianópolis (TO)";"20566"
"1707108";"Divinópolis do Tocantins (TO)";"6681"
"1707207";"Dois Irmãos do Tocantins (TO)";"7319"
"1707306";"Dueré (TO)";"4718"
"1707405";"Esperantina (TO)";"10203"
"1707553";"Fátima (TO)";"3892"
"1707652";"Figueirópolis (TO)";"5421"
"1707702";"Filadélfia (TO)";"8800"
"1708205";"Formoso do Araguaia (TO)";"18804"
"1708254";"Tabocão (TO)";"2527"
"1708304";"Goianorte (TO)";"5115"
"1709005";"Goiatins (TO)";"12644"
"1709302";"Guaraí (TO)";"24629"
"1709500";"Gurupi (TO)";"81792"
"1709807";"Ipueiras (TO)";"1804"
"1710508";"Itacajá (TO)";"7363"
"1710706";"Itaguatins (TO)";"6092"
"1710904";"Itapiratins (TO)";"3690"
"1711100";"Itaporã do Tocantins (TO)";"2488"
"1711506";"Jaú do Tocantins (TO)";"3698"
"1711803";"Juarina (TO)";"2262"
"1711902";"Lagoa da Confusão (TO)";"11525"
"1711951";"Lagoa do Tocantins (TO)";"3875"
"1712009";"Lajeado (TO)";"2956"
"1712157";"Lavandeira (TO)";"1749"
"1712405";"Lizarda (TO)";"3806"
"1712454";"Luzinópolis (TO)";"2847"
"1712504";"Marianópolis do Tocantins (TO)";"4730"
"1712702";"Mateiros (TO)";"2430"
"1712801";"Maurilândia do Tocantins (TO)";"3313"
"1713205";"Miracema do Tocantins (TO)";"20243"
"1713304";"Miranorte (TO)";"13164"
"1713601";"Monte do Carmo (TO)";"7286"
"1713700";"Monte Santo do Tocantins (TO)";"2196"
"1713809";"Palmeiras do Tocantins (TO)";"6180"
"1713957";"Muricilândia (TO)";"3356"
"1714203";"Natividade (TO)";"9268"
"1714302";"Nazaré (TO)";"4301"
"1714880";"Nova Olinda (TO)";"11301"
"1715002";"Nova Rosalândia (TO)";"4018"
"1715101";"Novo Acordo (TO)";"4043"
"1715150";"Novo Alegre (TO)";"2349"
"1715259";"Novo Jardim (TO)";"2600"
"1715507";"Oliveira de Fátima (TO)";"1085"
"1715705";"Palmeirante (TO)";"5432"
"1715754";"Palmeirópolis (TO)";"7600"
"1716109";"Paraíso do Tocantins (TO)";"47724"
"1716208";"Paranã (TO)";"10585"
"1716307";"Pau D'Arco (TO)";"4772"
"1716505";"Pedro Afonso (TO)";"12490"
"1716604";"Peixe (TO)";"11075"
"1716653";"Pequizeiro (TO)";"5305"
"1716703";"Colméia (TO)";"8642"
"1717008";"Pindorama do Tocantins (TO)";"4576"
"1717206";"Piraquê (TO)";"3017"
"1717503";"Pium (TO)";"7168"
"1717800";"Ponte Alta do Bom Jesus (TO)";"4654"
"1717909";"Ponte Alta do Tocantins (TO)";"7628"
"1718006";"Porto Alegre do Tocantins (TO)";"2973"
"1718204";"Porto Nacional (TO)";"51501"
"1718303";"Praia Norte (TO)";"8085"
"1718402";"Presidente Kennedy (TO)";"3756"
"1718451";"Pugmil (TO)";"2529"
"1718501";"Recursolândia (TO)";"4029"
"1718550";"Riachinho (TO)";"4435"
"1718659";"Rio da Conceição (TO)";"1895"
"1718709";"Rio dos Bois (TO)";"2715"
"1718758";"Rio Sono (TO)";"6459"
"1718808";"Sampaio (TO)";"4241"
"1718840";"Sandolândia (TO)";"3411"
"1718865";"Santa Fé do Araguaia (TO)";"7054"
"1718881";"Santa Maria do Tocantins (TO)";"3143"
"1718899";"Santa Rita do Tocantins (TO)";"2255"
"1718907";"Santa Rosa do Tocantins (TO)";"4752"
"1719004";"Santa Tereza do Tocantins (TO)";"2695"
"1720002";"Santa Terezinha do Tocantins (TO)";"2543"
"1720101";"São Bento do Tocantins (TO)";"4954"
"1720150";"São Félix do Tocantins (TO)";"1518"
"1720200";"São Miguel do Tocantins (TO)";"11271"
"1720259";"São Salvador do Tocantins (TO)";"3030"
"1720309";"São Sebastião do Tocantins (TO)";"4553"
"1720499";"São Valério (TO)";"4322"
"1720655";"Silvanópolis (TO)";"5289"
"1720804";"Sítio Novo do Tocantins (TO)";"9297"
"1720853";"Sucupira (TO)";"1856"
"1720903";"Taguatinga (TO)";"15931"
"1720937";"Taipas do Tocantins (TO)";"2056"
"1720978";"Talismã (TO)";"2695"
"1721000";"Palmas (TO)";"257904"
"1721109";"Tocantínia (TO)";"7158"
"1721208";"Tocantinópolis (TO)";"23165"
"1721257";"Tupirama (TO)";"1718"
"1721307";"Tupiratins (TO)";"2342"
"1722081";"Wanderlândia (TO)";"11450"
"1722107";"Xambioá (TO)";"11736"
"2100055";"Açailândia (MA)";"107790"
"2100105";"Afonso Cunha (MA)";"6197"
"2100154";"Água Doce do Maranhão (MA)";"12028"
"2100204";"Alcântara (MA)";"21644"
"2100303";"Aldeias Altas (MA)";"25177"
"2100402";"Altamira do Maranhão (MA)";"11564"
"2100436";"Alto Alegre do Maranhão (MA)";"25748"
"2100477";"Alto Alegre do Pindaré (MA)";"31253"
"2100501";"Alto Parnaíba (MA)";"10904"
"2100550";"Amapá do Maranhão (MA)";"6669"
"2100600";"Amarante do Maranhão (MA)";"39544"
"2100709";"Anajatuba (MA)";"26339"
"2100808";"Anapurus (MA)";"14815"
"2100832";"Apicum-Açu (MA)";"17474"
"2100873";"Araguanã (MA)";"14658"
"2100907";"Araioses (MA)";"44317"
"2100956";"Arame (MA)";"31867"
"2101004";"Arari (MA)";"28986"
"2101103";"Axixá (MA)";"11706"
"2101202";"Bacabal (MA)";"101851"
"2101251";"Bacabeira (MA)";"15982"
"2101301";"Bacuri (MA)";"17164"
"2101350";"Bacurituba (MA)";"5440"
"2101400";"Balsas (MA)";"89126"
"2101509";"Barão de Grajaú (MA)";"18074"
"2101608";"Barra do Corda (MA)";"85022"
"2101707";"Barreirinhas (MA)";"58599"
"2101731";"Belágua (MA)";"7105"
"2101772";"Bela Vista do Maranhão (MA)";"10717"
"2101806";"Benedito Leite (MA)";"5510"
"2101905";"Bequimão (MA)";"20821"
"2101939";"Bernardo do Mearim (MA)";"6176"
"2101970";"Boa Vista do Gurupi (MA)";"8626"
"2102002";"Bom Jardim (MA)";"40134"
"2102036";"Bom Jesus das Selvas (MA)";"31320"
"2102077";"Bom Lugar (MA)";"15604"
"2102101";"Brejo (MA)";"34754"
"2102150";"Brejo de Areia (MA)";"4591"
"2102200";"Buriti (MA)";"27697"
"2102309";"Buriti Bravo (MA)";"23238"
"2102325";"Buriticupu (MA)";"68626"
"2102358";"Buritirana (MA)";"15008"
"2102374";"Cachoeira Grande (MA)";"8698"
"2102408";"Cajapió (MA)";"10822"
"2102507";"Cajari (MA)";"18751"
"2102556";"Campestre do Maranhão (MA)";"13808"
"2102606";"Cândido Mendes (MA)";"19426"
"2102705";"Cantanhede (MA)";"21125"
"2102754";"Capinzal do Norte (MA)";"10729"
"2102804";"Carolina (MA)";"23939"
"2102903";"Carutapera (MA)";"22811"
"2103000";"Caxias (MA)";"159396"
"2103109";"Cedral (MA)";"10414"
"2103125";"Central do Maranhão (MA)";"8255"
"2103158";"Centro do Guilherme (MA)";"12395"
"2103174";"Centro Novo do Maranhão (MA)";"20382"
"2103208";"Chapadinha (MA)";"76217"
"2103257";"Cidelândia (MA)";"14125"
"2103307";"Codó (MA)";"119641"
"2103406";"Coelho Neto (MA)";"47821"
"2103505";"Colinas (MA)";"39915"
"2103554";"Conceição do Lago-Açu (MA)";"15313"
"2103604";"Coroatá (MA)";"63154"
"2103703";"Cururupu (MA)";"31149"
"2103752";"Davinópolis (MA)";"12646"
"2103802";"Dom Pedro (MA)";"22844"
"2103901";"Duque Bacelar (MA)";"10942"
"2104008";"Esperantinópolis (MA)";"17460"
"2104057";"Estreito (MA)";"38932"
"2104073";"Feira Nova do Maranhão (MA)";"8263"
"2104081";"Fernando Falcão (MA)";"9783"
"2104099";"Formosa da Serra Negra (MA)";"18087"
"2104107";"Fortaleza dos Nogueiras (MA)";"12343"
"2104206";"Fortuna (MA)";"15212"
"2104305";"Godofredo Viana (MA)";"11046"
"2104404";"Gonçalves Dias (MA)";"17572"
"2104503";"Governador Archer (MA)";"10466"
"2104552";"Governador Edison Lobão (MA)";"17094"
"2104602";"Governador Eugênio Barros (MA)";"16312"
"2104628";"Governador Luiz Rocha (MA)";"7532"
"2104651";"Governador Newton Bello (MA)";"10113"
"2104677";"Governador Nunes Freire (MA)";"25262"
"2104701";"Graça Aranha (MA)";"6151"
"2104800";"Grajaú (MA)";"65078"
"2104909";"Guimarães (MA)";"11939"
"2105005";"Humberto de Campos (MA)";"27364"
"2105104";"Icatu (MA)";"26014"
"2105153";"Igarapé do Meio (MA)";"13347"
"2105203";"Igarapé Grande (MA)";"11431"
"2105302";"Imperatriz (MA)";"251468"
"2105351";"Itaipava do Grajaú (MA)";"14084"
"2105401";"Itapecuru Mirim (MA)";"64951"
"2105427";"Itinga do Maranhão (MA)";"25269"
"2105450";"Jatobá (MA)";"9360"
"2105476";"Jenipapo dos Vieiras (MA)";"15899"
"2105500";"João Lisboa (MA)";"23450"
"2105609";"Joselândia (MA)";"15755"
"2105658";"Junco do Maranhão (MA)";"3653"
"2105708";"Lago da Pedra (MA)";"48002"
"2105807";"Lago do Junco (MA)";"9873"
"2105906";"Lago Verde (MA)";"15742"
"2105922";"Lagoa do Mato (MA)";"10989"
"2105948";"Lago dos Rodrigues (MA)";"8775"
"2105963";"Lagoa Grande do Maranhão (MA)";"12687"
"2105989";"Lajeado Novo (MA)";"7211"
"2106003";"Lima Campos (MA)";"11580"
"2106102";"Loreto (MA)";"11714"
"2106201";"Luís Domingues (MA)";"6697"
"2106300";"Magalhães de Almeida (MA)";"18680"
"2106326";"Maracaçumé (MA)";"20268"
"2106359";"Marajá do Sena (MA)";"7721"
"2106375";"Maranhãozinho (MA)";"15011"
"2106409";"Mata Roma (MA)";"15951"
"2106508";"Matinha (MA)";"22515"
"2106607";"Matões (MA)";"32545"
"2106631";"Matões do Norte (MA)";"15322"
"2106672";"Milagres do Maranhão (MA)";"8237"
"2106706";"Mirador (MA)";"20576"
"2106755";"Miranda do Norte (MA)";"26419"
"2106805";"Mirinzal (MA)";"14504"
"2106904";"Monção (MA)";"32180"
"2107001";"Montes Altos (MA)";"9183"
"2107100";"Morros (MA)";"18544"
"2107209";"Nina Rodrigues (MA)";"13465"
"2107258";"Nova Colinas (MA)";"5120"
"2107308";"Nova Iorque (MA)";"4599"
"2107357";"Nova Olinda do Maranhão (MA)";"19963"
"2107407";"Olho d'Água das Cunhãs (MA)";"18934"
"2107456";"Olinda Nova do Maranhão (MA)";"13911"
"2107506";"Paço do Lumiar (MA)";"113378"
"2107605";"Palmeirândia (MA)";"19133"
"2107704";"Paraibano (MA)";"20636"
"2107803";"Parnarama (MA)";"33883"
"2107902";"Passagem Franca (MA)";"18216"
"2108009";"Pastos Bons (MA)";"18687"
"2108058";"Paulino Neves (MA)";"15234"
"2108108";"Paulo Ramos (MA)";"20514"
"2108207";"Pedreiras (MA)";"39337"
"2108256";"Pedro do Rosário (MA)";"23874"
"2108306";"Penalva (MA)";"36520"
"2108405";"Peri Mirim (MA)";"13956"
"2108454";"Peritoró (MA)";"22123"
"2108504";"Pindaré-Mirim (MA)";"31866"
"2108603";"Pinheiro (MA)";"80365"
"2108702";"Pio XII (MA)";"21512"
"2108801";"Pirapemas (MA)";"17917"
"2108900";"Poção de Pedras (MA)";"18633"
"2109007";"Porto Franco (MA)";"22651"
"2109056";"Porto Rico do Maranhão (MA)";"5943"
